num,image_url,suggestions,gtrans,dtrans
11,https://i.imgur.com/YZ2tiVo.png,{},du hast es doch bestimmt aufgeschrieben sagte der alte zauberer und seine stimme verstummte,du hast es doch sicher aufgeschrieben sagte der alte zauberer und seine stimme verstummte
12,https://i.imgur.com/IggmFgF.png,{},harry war ziemlich verlegen,harry fühlte sich ziemlich peinlich berührt
13,https://i.imgur.com/gaWjmXk.png,{},ja wenn du gerade ein mysteriöses gespräch voller bedeutsamer hinweise durchforstet hättest die du nicht verstehst wäre es verdammt naheliegend alles sofort danach aufzuschreiben bevor die erinnerung verblasst damit du versuchen könntest es herauszufinden später heraus,ja wenn sie sich gerade durch ein mysteriöses gespräch voller bedeutsamer andeutungen gequält haben die sie nicht verstanden haben wäre es das naheliegendste alles sofort aufzuschreiben bevor die erinnerung verblasst damit sie später versuchen können es herauszufinden
14,https://i.imgur.com/i2mmdvg.png,{},also gut sagte der schulleiter dann aus dem gedächtnis,in ordnung sagte der schulleiter dann aus dem gedächtnis
15,https://i.imgur.com/OfFEA1t.png,{},harry rezitierte verlegen so gut er konnte und hatte fast die hälfte geschafft bevor er erkannte dass es nicht schlau war dem möglicherweise verrückten schulleiter einfach alles zu erzählen zumindest nicht ohne vorher darüber nachzudenken aber dann war lucius definitiv ein schlechter kerl und dumbledores gegner also war es wahrscheinlich eine gute idee es ihm zu sagen und harry hatte bereits angefangen zu reden und es war zu spät um die dinge jetzt auszurechnen,harry rezitierte verlegen so gut er konnte und war fast zur hälfte fertig bevor ihm klar wurde dass es nicht klug war dem möglicherweise verrückten schulleiter einfach alles zu erzählen zumindest nicht ohne vorher darüber nachzudenken aber dann war lucius definitiv ein bösewicht und dumbledores gegenspieler also war es wahrscheinlich eine gute idee es ihm zu sagen und harry hatte bereits mit dem reden begonnen und es war zu spät um zu versuchen die dinge jetzt zu berechnen
16,https://i.imgur.com/n837NQ8.png,{},harry beendete seine erinnerungen ehrlich,harry beendete seine erinnerungen aufrichtig
17,https://i.imgur.com/4WluISf.png,{},dumbledores gesicht war distanzierter geworden als harry fortfuhr und am ende lag ein ausdruck von alter um ihn eine strenge in der luft,dumbledores gesicht wurde immer abweisender je weiter harry fortfuhr und am ende hatte er einen altertümlichen blick eine strenge in der luft
18,https://i.imgur.com/9Lij22Z.png,{},nun sagte dumbledore dann schlage ich vor dass du gut aufpasst dass der erbe von malfoy nicht zu schaden kommt und ich werde dasselbe tun,nun sagte dumbledore dann schlage ich vor dass du so gut wie möglich dafür sorgst dass dem erben von malfoy nichts zustößt und ich werde das gleiche tun
19,https://i.imgur.com/54s4leI.png,{},der schulleiter runzelte die stirn seine finger trommelten lautlos durch die tintenschwarze oberfläche eines tellers auf dem das wort leliel stand,der schulleiter runzelte die stirn seine finger trommelten lautlos auf die tiefschwarze oberfläche einer tafel auf der das wort leliel stand
20,https://i.imgur.com/IdqthGz.png,{},und ich denke es wäre äußerst weise für dich von nun an jegliche interaktion mit lord malfoy zu vermeiden,und ich denke es wäre äußerst klug wenn du von nun an jeden kontakt mit lord malfoy vermeiden würdest
21,https://i.imgur.com/kCgejRT.png,{},hast du eulen von ihm zu mir abgefangen sagte harry,habt ihr eulen von ihm für mich abgefangen fragte harry
22,https://i.imgur.com/PFD6rMg.png,{},der schulleiter starrte harry einen langen moment an dann nickte er widerstrebend,der schulleiter schaute harry einen langen moment lang an und nickte dann zögernd
23,https://i.imgur.com/bRvGKyB.png,{},aus irgendeinem grund war harry nicht so empört wie er hätte sein sollen,aus irgendeinem grund war harry nicht so empört wie er es hätte sein sollen
24,https://i.imgur.com/ukp9RIr.png,{},vielleicht war es nur so dass es harry gerade sehr leicht fiel mit dem standpunkt des schulleiters zu sympathisieren,vielleicht fiel es harry gerade sehr leicht sich in den standpunkt des schulleiters hineinzuversetzen
25,https://i.imgur.com/8VBaBI9.png,{},sogar harry konnte verstehen warum dumbledore nicht wollte dass er mit lucius malfoy interagierte es schien keine böse tat zu sein,selbst harry konnte verstehen warum dumbledore nicht wollte dass er mit lucius malfoy zu tun hatte es schien keine böse tat zu sein
26,https://i.imgur.com/jKSC7Kk.png,{},nicht wie der schulleiter der zabini erpresst wofür sie nur zabinis wort hatten und zabini war absolut nicht vertrauenswürdig,nicht so wie der schulleiter der zabini erpresst dafür hatten sie nur zabinis wort und zabini war äußerst unzuverlässig und es war schwer zu verstehen warum zabini nicht einfach die geschichte erzählte die ihm die meiste sympathie von professor quirrell einbrachte
27,https://i.imgur.com/fMZXrs9.png,{},wie wäre es wenn ich anstatt zu protestieren sage dass ich deinen standpunkt verstehe sagte harry und du weiterhin meine eulen abfangst mir aber sagst von wem,wie wäre es wenn ich anstatt zu protestieren sage dass ich deinen standpunkt verstehe sagte harry und du weiterhin meine eulen abfängst aber du mir sagst von wem
28,https://i.imgur.com/dIfbWJq.png,{},ich habe sehr viele eulen für dich abgefangen fürchte ich sagte dumbledore nüchtern,ich fürchte ich habe sehr viele eulen für dich abgefangen sagte dumbledore nüchtern
29,https://i.imgur.com/PXXpqk9.png,{},du bist eine berühmtheit harry und du würdest jeden tag dutzende von briefen erhalten einige von weit außerhalb dieses landes hätte ich sie nicht zurückgeschickt,du bist eine berühmtheit harry und du würdest täglich dutzende von briefen erhalten einige davon von weit außerhalb dieses landes wenn ich sie nicht zurückweisen würde
30,https://i.imgur.com/aidP8Hh.png,{},das sagte harry der jetzt ein wenig empörung zu spüren begann scheint ein bisschen zu weit zu gehen,das sagte harry der sich jetzt ein wenig entrüstet fühlte geht wohl ein wenig zu weit -
31,https://i.imgur.com/jQXqYUF.png,{},viele dieser briefe sagte der alte zauberer leise werden dich um dinge bitten die du nicht geben kannst,viele dieser briefe sagte der alte zauberer leise werden dich um dinge bitten die du nicht geben kannst
32,https://i.imgur.com/lFDFGCr.png,{},ich habe sie natürlich nicht gelesen sondern nur unzustellbar an ihre absender zurückgeschickt,ich habe sie natürlich nicht gelesen sondern sie nur unzustellbar an den absender zurückgeschickt
33,https://i.imgur.com/w2TQrAl.png,{},aber ich weiß es denn ich empfange sie auch,aber ich weiß es denn ich empfange sie auch
34,https://i.imgur.com/ngvlBO9.png,{},und du bist zu jung harry um dir jeden morgen vor dem frühstück sechs mal das herz brechen zu lassen,und du bist zu jung harry um dir jeden morgen vor dem frühstück sechsmal das herz brechen zu lassen
35,https://i.imgur.com/Q4PYQpE.png,{},harry sah auf seine schuhe hinunter,harry schaute auf seine schuhe
36,https://i.imgur.com/0MoTbui.png,{},er sollte darauf bestehen die briefe zu lesen und selbst zu urteilen aber da war eine leise stimme des gesunden menschenverstandes in ihm und sie schrie gerade sehr laut,er sollte darauf bestehen die briefe zu lesen und sich selbst ein urteil zu bilden aber es gab eine kleine stimme des gesunden menschenverstandes in ihm und die schrie im moment sehr laut
37,https://i.imgur.com/uX1Dj8Z.png,{},danke murmelte harry,danke murmelte harry
38,https://i.imgur.com/dxWTT6q.png,{},der andere grund warum ich sie hierher gebeten habe sagte der alte zauberer war dass ich ihr einzigartiges genie konsultieren wollte,der andere grund warum ich dich hergebeten habe sagte der alte zauberer war dass ich dein einzigartiges genie befragen wollte
39,https://i.imgur.com/SlG5LyS.png,{'Transfiguration': 'Verwandlung'},verklärung sagte harry überrascht und geschmeichelt,transfiguration sagte harry überrascht und geschmeichelt
40,https://i.imgur.com/n1gjEx8.png,{},nein nicht dieses einzigartige genie sagte dumbledore,nein nicht dieses einzigartige genie sagte dumbledore
41,https://i.imgur.com/hwR0XjL.png,"{'Dementor': 'Dementor', 'Hogwarts': 'Hogwarts'}",sag mir harry was könntest du böses anrichten wenn ein dementor das gelände von hogwarts betreten dürfte,sag mir harry was könntest du böses anrichten wenn ein dementor auf das gelände von hogwarts gelassen würde
42,https://i.imgur.com/OpKfVWw.png,"{'Dementor': 'Dementor', 'Patronus': 'Patronus'}",es stellte sich heraus dass professor quirrell seine schüler gebeten oder vielmehr verlangt hatte ihre fähigkeiten gegen einen echten dementor zu testen nachdem sie die worte und gesten des patronuszaubers gelernt hatten,es stellte sich heraus dass professor quirrell von seinen schülern verlangte oder besser gesagt verlangte dass sie ihre fähigkeiten gegen einen echten dementor testen sollten nachdem sie die worte und gesten für den patronus-zauber gelernt hatten
43,https://i.imgur.com/sMkgIUc.png,{'Patronus': 'Patronus'},professor quirrell ist nicht in der lage den patronuszauber selbst zu wirken sagte dumbledore während er langsam durch die geräte ging,professor quirrell ist nicht in der lage den patronus-zauber selbst zu wirken sagte dumbledore während er langsam durch die geräte schritt
44,https://i.imgur.com/VzBnNrx.png,{},was nie ein gutes zeichen ist,das ist nie ein gutes zeichen
45,https://i.imgur.com/wJ3bx0F.png,{'Patronus': 'Patronus'},aber dann teilte er mir diese tatsache mit als er verlangte dass externe lehrer hinzugezogen werden um jedem schüler der lernen wollte den patronus-zauber beizubringen er bot an die kosten selbst zu bezahlen wenn ich nicht wollte,doch dann teilte er mir diese tatsache freiwillig mit als er verlangte dass jeder schüler der den patronus-zauber erlernen wollte von einem externen lehrer unterrichtet werden sollte er bot an die kosten selbst zu tragen wenn ich dies nicht tun würde
46,https://i.imgur.com/ZOBOCNs.png,{},dies hat mich sehr beeindruckt,das hat mich sehr beeindruckt
47,https://i.imgur.com/MgQAIgC.png,{'Dementor': 'Dementor'},aber jetzt besteht er darauf einen dementor zu holen,aber jetzt besteht er darauf einen dementor zu bringen
48,https://i.imgur.com/Cpi6vfe.png,{},direktor sagte harry leise professor quirrell glaubt sehr stark an live-feuer-tests unter realistischen kampfbedingungen,schulleiter sagte harry leise professor quirrell hält sehr viel von schießversuchen unter realistischen kampfbedingungen
49,https://i.imgur.com/TZgkLHP.png,{'Dementor': 'Dementor'},der wunsch einen echten dementor hereinzubringen ist für ihn völlig charakteristisch,einen echten dementor herbeizuschaffen ist ganz typisch für ihn
50,https://i.imgur.com/BgxgVdE.png,{},jetzt warf der schulleiter harry einen seltsamen blick zu,jetzt warf der schulleiter harry einen seltsamen blick zu
51,https://i.imgur.com/Wa7fiev.png,{},im charakter sagte der alte zauberer,in der rolle sagte der alte zauberer
52,https://i.imgur.com/VsbdAds.png,{},ich meine sagte harry es stimmt völlig mit der art und weise überein wie sich professor quirrell normalerweise verhält harry verstummte,ich meine sagte harry das passt ganz gut zu dem wie professor quirrell sich normalerweise verhält harry brach ab
53,https://i.imgur.com/Qgzusph.png,{},warum hatte er es so formuliert,warum hatte er es so formuliert
54,https://i.imgur.com/PbFLjwJ.png,{},der schulleiter nickte,der schulleiter nickte
55,https://i.imgur.com/1GDjwP5.png,{},sie haben also das gleiche gefühl wie ich dass es eine entschuldigung ist,sie haben also dasselbe gefühl wie ich dass es eine ausrede ist
56,https://i.imgur.com/qlABpnF.png,{},eine sehr vernünftige entschuldigung um sicher zu sein mehr als sie vielleicht denken,das ist sicherlich eine sehr vernünftige entschuldigung mehr als ihnen vielleicht bewusst ist
57,https://i.imgur.com/MOrW0T2.png,"{'Dementor': 'Dementor', 'Patronus': 'Patronus'}",zauberer die anscheinend nicht in der lage sind einen patronuszauber zu wirken werden in der gegenwart eines echten dementors erfolgreich sein und von keinem einzigen lichtblitz zu einem vollen körperlichen patronus übergehen,oft gelingt es zauberern die scheinbar nicht in der lage sind einen patronus-zauber zu wirken in der gegenwart eines echten dementors der von keinem einzigen lichtflackern zu einem vollständigen körperlichen patronus wird
58,https://i.imgur.com/xWNQcMS.png,{},warum das so sein sollte weiß niemand aber es ist so,warum das so ist weiß niemand aber es ist so
59,https://i.imgur.com/El64XkC.png,{},harry runzelte die stirn,harry runzelte die stirn
60,https://i.imgur.com/Ckm20Wi.png,{},dann verstehe ich wirklich nicht warum du misstrauisch bist,dann verstehe ich wirklich nicht warum du verdächtig bist -
61,https://i.imgur.com/TuuP2vQ.png,{},der schulleiter breitete seine hände aus als ob er hilflos wäre,der schulleiter breitete seine hände wie in hilflosigkeit aus
62,https://i.imgur.com/c7b8P39.png,{'Hogwarts': 'Hogwarts'},harry der verteidigungsprofessor hat mich gebeten die dunkelste aller kreaturen durch die tore von hogwarts zu passieren,harry der verteidigungsprofessor hat mich gebeten die dunkelste aller kreaturen durch die tore von hogwarts zu lassen
63,https://i.imgur.com/cL4Ca9n.png,{},ich muss misstrauisch sein,ich muss verdächtig sein
64,https://i.imgur.com/HrLHrIJ.png,{},der schulleiter seufzte,der schulleiter seufzte
65,https://i.imgur.com/ddAKMNP.png,{'Dementor': 'Dementor'},und doch wird der dementor in einem mächtigen käfig bewacht bewacht ich werde immer selbst da sein um ihn zu beobachten - ich kann mir nicht vorstellen was böses getan werden könnte,und doch wird der dementor in einem mächtigen käfig bewacht bewacht bewacht bewacht - ich kann mir nicht vorstellen dass man ihm etwas böses antun könnte
66,https://i.imgur.com/N8aQr9A.png,{},aber vielleicht kann ich es auch nur nicht sehen,aber vielleicht bin ich auch nur unfähig es zu sehen
67,https://i.imgur.com/P66XnoX.png,{},und deshalb frage ich sie,und darum bitte ich sie
68,https://i.imgur.com/RhSjHA2.png,{},harry starrte den schulleiter mit offenem mund an,harry starrte den schulleiter mit offenem mund an
69,https://i.imgur.com/JaOO4Kh.png,{},er war so schockiert dass er sich nicht einmal geschmeichelt fühlen konnte,er war so schockiert dass er sich nicht einmal geschmeichelt fühlte
70,https://i.imgur.com/1cKItcx.png,{},mich sagte harry,ich sagte harry
71,https://i.imgur.com/M5kfXly.png,{},ja sagte dumbledore und lächelte leicht,ja sagte dumbledore und lächelte leicht
72,https://i.imgur.com/Pn58Cze.png,{},ich versuche mein bestes um meine feinde zu antizipieren ihre bösen gedanken zu erfassen und ihre bösen gedanken vorherzusagen,ich versuche mein bestes um meine feinde vorauszusehen ihre bösen gedanken zu erfassen und ihre bösen gedanken vorherzusagen
73,https://i.imgur.com/TS0gsQ7.png,{'Hufflepuff': 'Hufflepuff'},aber ich hätte mir nie vorstellen können die knochen eines hufflepuffs zu waffen zu schärfen,aber ich wäre nie auf die idee gekommen die knochen eines hufflepuffs in waffen zu verwandeln
74,https://i.imgur.com/pFxF12D.png,{},würde harry das jemals aushalten,wird harry das jemals verwinden
75,https://i.imgur.com/OI3XdX8.png,{},schulleiter sagte harry müde ich weiß es klingt nicht gut aber im ernst ich bin nicht böse ich bin nur sehr kreativ,herr direktor sagte harry müde ich weiß dass es sich nicht gut anhört aber mal ganz im ernst ich bin nicht böse ich bin nur sehr kreativ -
76,https://i.imgur.com/K3ZCQs8.png,{},ich habe nicht gesagt dass du böse bist sagte dumbledore ernst,ich habe nicht gesagt dass du böse bist sagte dumbledore ernst
77,https://i.imgur.com/AccqcsG.png,{},es gibt leute die sagen das böse zu begreifen bedeutet böse zu werden aber sie geben nur vor weise zu sein,es gibt leute die sagen das böse zu begreifen bedeute böse zu werden aber sie tun nur so als ob sie weise wären
78,https://i.imgur.com/e6VRSpe.png,{},vielmehr ist es das böse das die liebe nicht kennt und sich die liebe nicht vorzustellen wagt und die liebe niemals verstehen kann ohne aufzuhören böse zu sein,vielmehr ist es das böse das die liebe nicht kennt und sich die liebe nicht vorzustellen wagt und die liebe niemals verstehen kann ohne aufzuhören böse zu sein
79,https://i.imgur.com/r0Jq12t.png,{},und ich vermute dass du dir deinen weg in die köpfe von dark wizards besser vorstellen kannst als ich es jemals könnte während du immer noch weißt dass du dich selbst liebst,und ich vermute dass du dich besser in die gedankenwelt der dunklen zauberer hineinversetzen kannst als ich es je konnte und trotzdem selbst die liebe kennst
80,https://i.imgur.com/9m2QjeN.png,"{'Dementor': 'Dementor', 'Hogwarts': 'Hogwarts'}",also harry die augen des schulleiters waren angespannt wenn sie in professor quirrells schuhen stünden welche untaten könnten sie begehen nachdem sie mich dazu gebracht haben einen dementor auf das gelände von hogwarts zu lassen,also harry die augen des schulleiters waren aufmerksam wenn du an professor quirrells stelle wärst welche untaten könntest du begehen nachdem du mich dazu gebracht hast einen dementor auf das gelände von hogwarts zu lassen
81,https://i.imgur.com/qbE5KYG.png,{},warte sagte harry und trottete leicht benommen zu dem stuhl vor dem schreibtisch des schulleiters und setzte sich,moment sagte harry und stapfte etwas benommen zu dem stuhl vor dem schreibtisch des schulleiters und setzte sich
82,https://i.imgur.com/EUIXGgP.png,{},diesmal war es ein großer und bequemer stuhl kein hölzerner hocker und harry konnte fühlen wie er eingehüllt wurde als er darin sank,diesmal war es ein großer und bequemer stuhl kein holzschemel und harry fühlte sich umhüllt als er sich darauf niederließ
83,https://i.imgur.com/NbitFNt.png,{},dumbledore bat ihn professor quirrell zu überlisten,dumbledore hat ihn gebeten professor quirrell zu überlisten
84,https://i.imgur.com/XOCG11T.png,{},punkt eins harry mochte professor quirrell eher als dumbledore,punkt eins harry mochte professor quirrell lieber als dumbledore
85,https://i.imgur.com/IgPfVZX.png,{},punkt zwei die hypothese war dass der verteidigungsprofessor vorhatte etwas böses zu tun und in diesem konjunktiv-fall sollte harry dem schulleiter helfen dies zu verhindern,punkt zwei die hypothese war dass der verteidigungsprofessor etwas böses vorhatte und in diesem konjunktiv sollte harry dem schulleiter helfen dies zu verhindern
86,https://i.imgur.com/Z1aQVeO.png,{},punkt drei,punkt drei
87,https://i.imgur.com/imAyXiH.png,{},direktor sagte harry wenn professor quirrell etwas vorhat bin ich mir nicht sicher ob ich ihn überlisten kann,schulleiter sagte harry wenn professor quirrell etwas vorhat bin ich mir nicht sicher ob ich ihn überlisten kann
88,https://i.imgur.com/v7Vl53t.png,{},er hat viel mehr erfahrung als ich,er hat viel mehr erfahrung als ich
89,https://i.imgur.com/6fU5CNg.png,{},der alte zauberer schüttelte den kopf und schaffte es irgendwie trotz seines lächelns sehr feierlich zu erscheinen,der alte zauberer schüttelte den kopf und schaffte es trotz seines lächelns sehr ernst zu wirken
90,https://i.imgur.com/90pfxQD.png,{},sie unterschätzen sich selbst,du unterschätzt dich selbst
91,https://i.imgur.com/8U1qaV1.png,{},das war das erste mal dass jemand das zu harry gesagt hatte,das war das erste mal dass jemand so etwas zu harry gesagt hatte
92,https://i.imgur.com/I9wtlue.png,{'Slytherin': 'Slytherin'},ich erinnere mich fuhr der alte zauberer fort ein junger mann in genau diesem büro kalt und kontrolliert als er dem hauslehrer slytherin gegenüberstand und seinen eigenen schulleiter erpresste um seine klassenkameraden zu schützen,ich erinnere mich fuhr der alte zauberer fort an einen jungen mann in diesem büro kalt und beherrscht der sich mit dem leiter des hauses slytherin anlegte und seinen eigenen schulleiter erpresste um seine mitschüler zu schützen
93,https://i.imgur.com/nvjMnar.png,{},und ich glaube dass dieser junge mann schlauer ist als professor quirrell schlauer als lucius malfoy dass er voldemort selbst ebenbürtig werden wird,und ich glaube dass dieser junge mann gerissener ist als professor quirrell gerissener als lucius malfoy dass er voldemort selbst ebenbürtig sein wird
94,https://i.imgur.com/rmDUKV3.png,{},er ist es den ich konsultieren möchte,er ist es den ich zu rate ziehen möchte
95,https://i.imgur.com/K76N94Y.png,{},harry unterdrückte die kälte die ihn bei dem namen durchfuhr und sah den schulleiter nachdenklich an,harry unterdrückte den schauer der ihn bei diesem namen durchlief und blickte den schulleiter nachdenklich an
96,https://i.imgur.com/rE0Jo98.png,{},wie viel weiß er,wie viel weiß er
97,https://i.imgur.com/bi7t58I.png,{},der schulleiter hatte harry im griff seiner mysteriösen dunklen seite gesehen so tief wie harry jemals darin versunken war,der schulleiter hatte harry im griff seiner geheimnisvollen dunklen seite gesehen so tief wie harry jemals in sie versunken war
98,https://i.imgur.com/GlJhhqu.png,{},harry erinnerte sich noch immer daran wie es gewesen war unsichtbar der zeitumkehrung zuzusehen wie sein vergangenes ich den älteren slytherins gegenüberstand der junge mit der narbe auf der stirn der sich nicht wie die anderen benahm,harry erinnerte sich immer noch daran wie es war unsichtbar in der zeit umzukehren und zuzusehen wie sein früheres ich gegen die älteren slytherins antrat der junge mit der narbe auf seiner stirn der sich nicht wie die anderen verhielt
99,https://i.imgur.com/teRJtMs.png,{},natürlich wäre dem schulleiter etwas seltsames an dem jungen in seinem büro aufgefallen,natürlich hätte der schulleiter etwas an dem jungen in seinem büro bemerkt
100,https://i.imgur.com/APFDoTC.png,{'Dark Lord': 'Dunkler Lord'},und dumbledore war zu dem schluss gekommen dass sein lieblingsheld gerissen war um seinem bestimmten feind dem dunklen lord gerecht zu werden,und dumbledore war zu dem schluss gekommen dass sein lieblingsheld über die gleiche gerissenheit verfügte wie sein auserkorener feind der dunkle lord
101,https://i.imgur.com/VexYCtO.png,{'Dark Lord': 'Dunkler Lord'},was nicht viel verlangte wenn man bedenkt dass der dunkle lord ein deutlich sichtbares dunkles mal auf alle linken arme seiner diener gelegt hatte und dass er das gesamte kloster abgeschlachtet hatte das die kampfkunst lehrte die er lernen wollte,was nicht sehr viel verlangt war wenn man bedenkt dass der dunkle lord allen seinen dienern ein deutlich sichtbares dunkles mal auf den linken arm gezeichnet und das gesamte kloster abgeschlachtet hatte in dem die kampfkunst gelehrt wurde die er lernen wollte
102,https://i.imgur.com/ciwmEsd.png,{},genug list um es mit professor quirrell aufzunehmen wäre ein ganz anderes problem,genügend gerissenheit um es mit professor quirrell aufzunehmen wäre ein ganz anderes problem
103,https://i.imgur.com/pa3Ry0R.png,{},aber es war auch klar dass der schulleiter nicht zufrieden sein würde bis harry ganz kalt und dunkel wurde und eine art antwort fand die beeindruckend schlau klang,aber es war auch klar dass der schulleiter nicht zufrieden sein würde bevor harry nicht kalt und düster wurde und mit einer antwort aufwartete die beeindruckend schlau klang und die besser nicht professor quirrells verteidigung in die quere kommen sollte
104,https://i.imgur.com/wMRRGvl.png,{},und natürlich würde harry zu seiner dunklen seite hinübergehen und es aus dieser richtung durchdenken nur um ehrlich zu sein und nur für den fall,und natürlich würde harry zu seiner dunklen seite übergehen und die sache aus dieser richtung durchdenken nur um ehrlich zu sein und für den fall der fälle
105,https://i.imgur.com/QmzMdrI.png,{'Dementor': 'Dementor'},erzähl mir sagte harry alles darüber wie der dementor hereingebracht und bewacht werden soll,erzählen sie mir sagte harry alles darüber wie der dementor hereingebracht werden soll und wie er bewacht werden soll
106,https://i.imgur.com/beL4nIg.png,{},dumbledores augenbrauen hoben sich für einen moment und dann begann der alte zauberer zu sprechen,dumbledores augenbrauen hoben sich einen moment lang dann begann der alte zauberer zu sprechen
107,https://i.imgur.com/Ik1Kvo0.png,"{'Auror': 'Auror', 'Dementor': 'Dementor', 'Hogwarts': 'Hogwarts', 'Patronus': 'Patronus'}",der dementor würde von einem auroren-trio auf das gelände von hogwarts gebracht alle drei waren dem schulleiter persönlich bekannt und alle drei waren in der lage einen körperlichen patronuszauber zu wirken,der dementor würde von einem auroren-trio auf das gelände von hogwarts gebracht werden wobei alle drei dem schulleiter persönlich bekannt waren und alle drei einen körperlichen patronus-zauber wirken konnten
108,https://i.imgur.com/KyR2lJf.png,"{'Dementor': 'Dementor', 'Hogwarts': 'Hogwarts'}",sie würden am rand des geländes von dumbledore abgeholt werden der den dementor durch die hogwarts-stationen führen würde -,am rande des geländes wurden sie von dumbledore erwartet der den dementor durch die hogwarts-schutzmauer schickte
109,https://i.imgur.com/otgxPsw.png,{'Dementor': 'Dementor'},harry fragte ob der pass dauerhaft oder vorübergehend sei ob jemand den gleichen dementor am nächsten tag einfach noch einmal hereinbringen könnte,harry fragte ob der passierschein dauerhaft oder vorübergehend sei - ob jemand denselben dementor am nächsten tag einfach wieder herbringen könne
110,https://i.imgur.com/FsedJrB.png,{'Dementor': 'Dementor'},der pass war vorübergehend erwiderte der schulleiter mit einem zustimmenden nicken und die erklärung ging weiter der dementor würde in einem käfig aus massiven titanstangen sein nicht verklärt sondern echt geschmiedet mit der zeit würde die anwesenheit eines dementors dieses metall zu staub zersetzen aber nicht an einem einzigen tag,der passierschein sei vorübergehend antwortete der schulleiter mit einem zustimmenden nicken und die erklärung ging weiter der dementor befände sich in einem käfig aus massivem titanium nicht verformt sondern echt geschmiedet mit der zeit würde die anwesenheit eines dementors dieses metall zu staub korrodieren aber nicht an einem einzigen tag
111,https://i.imgur.com/zIi1pPR.png,{'Dementor': 'Dementor'},schüler die darauf warteten an der reihe zu sein würden sich weit hinter dem dementor aufhalten hinter zwei körperlichen patronus die von zwei der drei auroren zu jeder zeit unterhalten wurden,schüler die darauf warteten dass sie an der reihe waren hielten sich weit hinter dem dementor auf und zwar hinter zwei leibhaftigen patronen die jeweils von zwei der drei auroren betreut wurden
112,https://i.imgur.com/ZSViStY.png,"{'Dementor': 'Dementor', 'Patronus': 'Patronus'}",dumbledore würde mit seinem patronus am käfig des dementors warten,dumbledore würde mit seinem patronus beim käfig des dementors warten
