Input.num,flag,Translation
13,,"Jawohl, wenn du nur durchgefummelt ein mysteriöses gespräch voller wichtiger hinweise du hast es nicht verstanden, die verdammt offensichtliche sache wäre alles aufzuschreiben gleich danach, bevor die erinnerung verblasste, also könntest du es versuchen um es später herauszufinden."
13,,"Ja, wenn Sie nur durch ein mysteriöses Gespräch geflunkert hätten, das voller bedeutsamer Hinweise ist, die Sie nicht verstanden haben, wäre es naheliegend, alles sofort danach aufzuschreiben, bevor die Erinnerung verblasst, damit Sie später versuchen könnten, es herauszufinden."
13,,"Ja, wenn du gerade ein mysteriöses Gespräch voller bedeutsamer Hinweise durchforstet hättest, die du nicht verstehst, wäre es verdammt naheliegend, alles sofort danach aufzuschreiben, bevor die Erinnerung verblasst, damit du versuchen könntest, es herauszufinden später heraus."
13,,"Ja,  wenn du gerade durch ein mysteriöses Gespräch voll mit bedeutsamen Hinweisen die du nicht verstehst fumeltest, das verdammte, auffälige Ding, welches du sofort danach machen würdest, ist alles niederzuschreiben bevor die Erinnerung verblasste, soadass du danach versuchen könntest, es zu entschlüsseln."
13,x,"Ja, wenn du durch Zufall eine mysteriöse Konversation mit vielen, unverständlichen Hinweisen mithörst, dann ist doch offensichtlich das erste was du danach machst alles aufzuschreiben, bevor sich deine Erinnerung trübt damit du später die Rätsel lösen kannst. "
15,,"Harry rezitierte so gut er konnte kleinlaut vor,  und hatte fast die Hälfte geschafft, bevor er merkte, dass es nicht weise war, dem möglicherweise verrückten Schulleiter einfach alles zu erzählen, zumindest nicht ohne vorher darüber nachzudenken, aber letztendlich war Lucius definitiv ein Bösewicht und Dumbledores Gegner, daher war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden und es war zu spät, um zu versuchen, die Lage jetzt zu bemessen"
15,,"Harry rezitierte verlegen, so gut er konnte, und war fast zur Hälfte fertig, bevor ihm klar wurde, dass es nicht klug war, dem möglicherweise verrückten Schulleiter einfach alles zu erzählen, zumindest nicht, ohne vorher darüber nachzudenken, aber dann war Lucius definitiv ein Bösewicht und Dumbledores Gegenspieler, also war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden, und es war zu spät, die Dinge jetzt zu berechnen."
15,,"Harry rezitierte verlegen, so gut er konnte, und kam fast bis zur Hälfte, bevor ihm klar wurde, dass es nicht klug war, dem möglicherweise verrückten Schulleiter einfach alles zu erzählen, zumindest nicht, ohne vorher darüber nachzudenken, aber dann war Lucius definitiv ein Bösewicht und Dumbledores Gegenspieler, also war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden und es war zu spät, die Dinge jetzt zu berechnen..."
15,,"Harry rezitierte verlegen, so gut er konnte, und hatte fast die Hälfte geschafft, bevor er erkannte, dass es nicht schlau war, dem möglicherweise verrückten schulleiter einfach alles zu erzählen, zumindest nicht ohne vorher darüber nachzudenken, aber dann war Lucius definitiv ein schlechter kerl und Dumbledore's gegner, also war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden und es war zu spät, um zu versuchen, die dinge jetzt auszurechnen..."
15,,"Harry rezitierte schüchtern, so gut er konnte und war fast zur Hälfte fertig, bevor er erkannte, dass es nicht schlau war, dem möglicherweise verrückten Schulleiter einfach alles zu erzählen, zumindest nicht ohne vorher darüber nachzudenken. Aber Lucius war definitiv ein schlechter Mensch und Dumbledores Gegner, also war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden, aber es war zu spät, um die Dinge jetzt herauszufinden..."
16,,Harry wahrheitsgetreue Nacherzählungen endeten.
16,,Harry beendete seine Wiedeholung ehrlich.
16,,Harry beendete seine Erinnerungen aufrichtig.
17,,"Dumbledores das gesicht war distanzierter geworden als Harry fortfuhr, und am ende da war ein blick des altertums über ihn, eine strenge in der luft."
17,,"Dumbledore's Gesicht war entfernter geworden, als Harry ging weiter, und am Ende gab es einen Blick der Antike über ihn, eine Härte in der Luft."
17,,"Dumbledores Gesicht war distanzierter geworden, als Harry fortfuhr, und am Ende lag ein alter Blick um ihn, eine Strenge in der Luft."
17,,"Dumbledores Gesicht wird ferner während Harry weitersprach, und am Ende war da ein Blick von Weisheit über ihm, Strenge in der Luft."
17,x,"Dumbeldor's Gesicht wurde ernster je mehr Harry erzählte, und am Ende sah er uralt aus, strenge lag in der Luft. "
18,,"""Gut"" sagte Dumbledore. ""Ich empfehle dir, gut aufzupassen dass der erbe von Malfoy schadet nicht, dann. Und ich werde dasselbe tun."""
18,,"""Nun"", sagte Dumbledore. ""Ich schlage vor, dass Sie das Beste tun, damit der Erbe von Malfoy nicht zu Schaden kommt. Und ich werde das Gleiche tun."""
18,,"„Nun“, sagte Dumbledore. „Dann schlage ich vor, dass du gut aufpasst, dass der Erbe von Malfoy nicht zu Schaden kommt. Und ich werde dasselbe tun.“"
18,x,"""Nagut,"" sagte Dumbledore. ""dann schlage ich vor das du dich darum kümmerst, dass dem Erben von Malfoy nichts passiert. Ich werde das gleiche machen."""
19,,"Das Schulleiter runzelte die stirn, seine finger trommeln lautlos durch das tintenschwarz oberfläche von a teller beschriftet mit dem wort Leliel."
19,,"Der Schulleiter runzelte die Stirn, seine Finger trommelten lautlos durch die tintenschwarze Oberfläche der Platte, auf der das Wort Leliel stand."
19,,"Der Schulleiter machte ein trauriges Gesicht, seine Finger trommeltr geräuchlos durch die tintenschwarze Oberfläche einer Platte beschriftet mit dem Wort Leliel."
19,x,"Der Schulleiter runzelte seine Stirn, seine Finger drommelten geräuschlos auf der schwarzen Oberfläche eines Tellers mit der Inschrift ""Leliel"". "
23,,"Aus irgendeinem Grund fühlte Harry sich nicht so aufgebracht, wie er sollte."
23,,Für unerkläreten Gründen fühlte Harry nicht so empört wie er sollt.
23,,"Aus irgendeinem Grund war Harry nicht so empört, wie er es hätte sein sollen."
24,,"Vielleicht lag es einfach daran, dass es Harry nicht schwer fiel, Verständnis für den Standpunkt des Schulleiters aufzubringen."
24,,"Vielleicht fand Harry es lediglich sehr einfach, in sich selbst Verständnis für den Standpunkt des Schulleiters zu erwecken."
24,,"Vielleicht war es nur, dass Harry es jetzt sehr einfach fand den Blickpunkt des Schulleiters zu verstehen."
25,,Sogar Harry könnte verstehen warum Dumbledore würde nicht wollen dass er mit Lucius Malfoy interagiert; es schien nicht mögen ein böse tat.
25,,"Selbst Harry konnte verstehen, warum Dumbledore nicht wollte, dass er mit Lucius Malfoy interagiert; Es schien keine böse Tat zu sein."
25,,"Sogar Harry konnte verstehen, warum Dumbledore nicht wollte, dass er mit Lucius Malfoy interagierte; es schien keine böse Tat zu sein."
25,x,Sogar Harry konnte verstehen warum Dumbledore nicht mit Lucius Malfoy interagieren wollte; es schien nichts falsch daran zu sein. 
26,,"Nicht wie der Schulleiter der Zabini erpresst... wofür sie nur Zabinis wort hatten, und Zabini war absolut unzuverlässig, in der tat war es schwer zu sehen warum Zabini nicht einfach die geschichte erzählen würde das brachte ihm die meisten sympathien ein für Professor Quirrell..."
26,,"Nicht wie der Direktor, der Zabini erpresste... für den sie nur Zabinis Wort hatten, und Zabini war unglaublich unglaubwürdig, in der Tat war es schwer zu verstehen, warum Zabini nicht einfach die Geschichte erzählen wollte, die ihm die größte Sympathie von Professor Quirrell einbrachte..."
26,,"Der Schulleiter würde normalerweise nie Zabini erpressen … aber dafür gab es nur die Aussage von Zabini und Zabini war total unzuverlässig. Es wäre sogar zu erwarten, dass Zabini einfach eine Geschichte erfinden würde die ihm das meiste Mitgefühl von Professor Quirrel einbringen würde…"
26,x,"Es war nicht so als würde der Schulleiter Zabini erpressen... Dafür hatten sie zwar nur Zabini's Wort, und Zabini war sehr unglaubwürdig, sogar so sehr, dass es unverständlich war warum Zabini nicht die Geschichte erzählte die ihm die größte Sympathie von Orofessor Quirrell einbringen würde..."
27,,"""Wie wäre es, wenn ich, statt zu protestieren, sage, dass ich ihren Standpunkt verstehe,"" sagte Harry, ""und sie fangen weiter meine Eulen ab, aber sagen mir, von wem die kamen?"""
27,,"""Was wäre wenn, statt zu protestieren, ich sage dass ich verstehe deine sichtweise"" sagte Harry, ""und du gehst weiter meine eulen abfangen, aber sagst du mir von wem?"""
27,,"""Wie wäre es, wenn ich statt zu protestieren sage, dass ich deinen Standpunkt verstehe"", sagte Harry, ""und du gehst weiter meine Eulen abfangen, aber du sagst mir, von wem?"""
27,x,"""Wie wäre es, anstatt zu protestieren, sage ich einfach das ich deinen Standpunkt verstehe."", sagte Harry, ""und du fängst weiter meine Eulen ab, sagst mir aber von wem sie kommen?"""
28,,",,Ich muss gestehen, dass ich eine beachtliche Zahl an Eulen, die auf dem Weg zu dir waren, abgefangen habe"", sagte Dumbledore abgeklärt."
28,,"„Ich fürchte ich habe eine gute Anzahl von Eulen die an dich gerichtet waren abgefangen“, sagte Dumbledore ernsthaft."
28,,"""Ich fürchte, ich habe sehr viele Eulen für dich abgefangen"", sagte Dumbledore nüchtern."
29,,"""Du bist eine berühmtheit, Harry, und du würdest erhalten dutzende von briefen ein tag, einige von weit außerhalb dieses landes, habe ich sie nicht zurückgedreht."""
29,,"""Du bist eine Berühmtheit, Harry, und du würdest Dutzende von Briefen pro Tag erhalten, einige von weit außerhalb dieses Landes, habe ich sie nicht zurückgewiesen."""
29,,"""Du bist eine Berühmtheit, Harry, und du würdest jeden Tag Dutzende von Briefen erhalten, einige von weit außerhalb dieses Landes, hätte ich sie nicht zurückgeschickt."""
29,,"""Du bist eine Berühmheit, Harry, und du würdest jeden Tag dutzende von Briefenbekommen, manche von weit weg aus dem Land, hätte ich sie nicht abgelehnt."""
29,x,"Du bist eine berühmte Persönlichkeit, Harry, und du würdest jeden Tag dutzende von Nachrichten erhalten, manche von fernab diesen Landes, wenn ich sie nicht abweisen würde."
30,,Harry fing an sich etwas empört zu fühlen und sagte:  das scheint ein bisschen zu weit zu gehen
30,,",,Das"", sagte Harry, der nun langsam etwas empört wurde, ""scheint mir ein bisschen zu weit zu gehen -"""
30,,"""Das"", sagte Harry, der sich jetzt ein wenig entrüstet fühlte, ""geht wohl ein wenig zu weit -"""
31,,",,In vielen dieser Briefe"", sagte der alte Zauberer ruhig, ,,wird man dich um Dinge bitten, die du nicht bieten kannst."
31,,"„Viele dieser Briefe,“ sagte der alte Zauberer ruhig, „werden dich um Dinge bitten die Du nicht geben kannst."
31,,"""Viele dieser Briefe"", sagte der alte Zauberer leise, ""werden dich um Dinge bitten, die du nicht geben kannst."
33,,"Aber ich weiß, denn ich erhalte sie auch."
33,,"Aber ich weiß es, denn ich bekomme sie auch."
33,,"Aber ich weiß es, denn ich empfange sie auch."
34,,"Und du, Harry, bist zu jung um dein Herz schon jeden Morgen vorm Frühstück sechs mal gebrochen zu bekommen."""
34,,"Und Du bist viel zu jung, Harry, um dein Herz jeden Morgen noch vor dem Frühstück zerbrechen zu lassen."
34,,"Und du bist zu jung, Harry, um dir jeden Morgen vor dem Frühstück sechsmal das Herz brechen zu lassen."""
36,,"Er sollte darauf bestehen beim lesen der briefe und urteilen für ihn selbst, aber... da war eine kleine stimme von gesundem menschenverstand in ihm, und es war sehr laut schreien im augenblick."
36,,"Er sollte darauf bestehen, die Briefe zu lesen und selbst zu urteilen, aber... es war eine kleine Stimme des gesunden Menschenverstands in ihm, und es schrie gerade sehr laut."
36,,"Er sollte darauf bestehen, die Briefe zu lesen und selbst zu urteilen, aber... da war eine leise Stimme des gesunden Menschenverstandes in ihm und sie schrie gerade sehr laut."
36,x,"Er sollte darauf bestehen die Nachrichten zu lesen um sich selbst ein Urteil zu bilden, aber da war ein klein wenig gesunder Menschenverstand in ihm, welcher sich nun lautstark meldete."
38,,",,Der andere Grund, aus dem ich dich hierher gebeten habe"", sagte der alte Zauberer, ,,war, um deine einzigartige Genialität zurate zu ziehen."""
38,,",,Der andere Grund, aus dem ich dich hergebeten habe"", sagte der alte Zauberer, ,,war, um deine einzigartige Genialität zurate zu ziehen."""
38,,"""Der andere Grund, warum ich dich hergebeten habe"", sagte der alte Zauberer, ""war, dass ich dein einzigartiges Genie befragen wollte."""
39,,",,Verwandlung?"", sagte Harry überrascht und geschmeichelt."
39,,"„Verwandlung?“ sagte Harry, überrascht und geschmeichelt."
39,,"""Transfiguration?"", sagte Harry überrascht und geschmeichelt."
40,,",,Nein, nicht diese außergewöhnliche Genialität"", sagte Dumbledore."
40,,",,Nein, nicht diese einmalige Genialität"", sagte Dumbledore."
40,,"""Nein, nicht dieses einzigartige Genie"", sagte Dumbledore."
42,,"Es entwickelte sich, dass Professor Quirrell hat gefragt, oder besser gesagt gefordert, dass seine schüler testen ihre fähigkeiten gegen einen echten Dementor nachdem sie es gelernt haben die worte und gesten zum Patronus Charme."
42,,"Es stellte sich heraus, dass Professor Quirrell seine Schüler gebeten hatte, ihre Fähigkeiten gegen einen wirklichen Dementor zu testen, nachdem sie die Worte und Gesten zum Patronus Charm gelernt hatten, oder vielmehr verlangte."
42,,"Es stellte sich heraus, dass Professor Quirrell seine Schüler gebeten oder vielmehr verlangt hatte, ihre Fähigkeiten gegen einen echten Dementor zu testen, nachdem sie die Worte und Gesten des Patronuszaubers gelernt hatten."
42,x,"Es ergab sich dass Professor Quirrell erbat oder vielmehr verlangt hat, das seine Schüler ihre Fähigkeiten gegen einen echten Dementor testen sollten, nachdem sie die Wörter und Handbewegungen für den Patronus Zauber gelernt haben."
43,,",,Professor Quirrell ist nicht dazu fähig, selbst einen Patronuszauber zu vollführen"", sagte Dumbledore, während er langsam zwischen den Gerätschaften umherschritt."
43,,"„Professor Quirrell ist nicht fähig den Patronus-Zauber selbst auszuführen,“ sagte Dumbledore als er langsam zwischen den Geräten durchlief."
43,,"""Professor Quirrell ist nicht in der Lage, den Patronus-Zauber selbst zu wirken"", sagte Dumbledore, während er langsam durch die Geräte schritt."
44,,",,Was nie ein gutes Zeichen ist."
44,,"""Welche niemals ein gutes Zeichen wäre,"
44,,"""Das ist nie ein gutes Zeichen."
45,,"Aber dann, er hat sich freiwillig gemeldet diese tatsache für mich im kurs von fordernd dass externe Instruktoren hereingebracht werden den Patronus Charme lehren an jeden schüler wer wollte lernen; er hat angeboten zu zahlen die kosten selbst, wenn ich nicht würde."
45,,"Aber dann teilte er mir diese Tatsache mit, als er verlangte, dass externe Lehrer hinzugezogen werden, um jedem Schüler, der lernen wollte, den Patronus-Zauber beizubringen; er bot an, die Kosten selbst zu bezahlen, wenn ich nicht wollte."
45,,Aber dann teilte er mir diese Tatsache mit während er verlangte dass externe Lehrer hinzugezogen werden sollen um den Patronuszauber jedem Schüler beizubringen der diesen lernen wolle; er hat angeboten die Kosten selbst zu bezahlen wenn ich das nicht tun würde
45,x,"Aber dann bot er mir an im Zuge einer anspruchsvollen Sache, dass die Lehrkräfte außerhalb nach drinnen geholt werden um jeden den Patronus Zauber beizubringen der ihn lernen möchte. Er bot an, das er jeden selbst bezahlen würde wenn ich es nicht machen sollte."
47,,",,Aber nun besteht er darauf, einen Dementoren mitzubringen-"""
47,,"Und jetzt besteht er darauf einen Dementor zu bringen-"""
47,,"Aber jetzt besteht er darauf, einen Dementor zu bringen..."""
48,,"""Schulleiter"" sagte Harry leise, ""Professor Quirrell glaubt sehr stark in Live-Brandtests unter realistischen kampf bedingungen."
48,,"""Direktor"", sagte Harry leise, ""Professor Quirrell glaubt sehr stark an Live-Feuertests unter realistischen Kampfbedingungen."
48,,"""Schulleiter,"" sagte Harry leise. Professor Quirle ist ein fester Glauebiger von Live-Feuertests unter reellen Kampfbedingungen."
48,,"""Schulleiter,"" sagte Harry leiser, ""Professor Quirrel glaubte sehr stark in Live-Feuertest unter realistischen Kampf Bedingungen."
48,x,"""Schulleiter,"" sagte Harry leise, ""Professor Quirrell vertraut sehr stark in Beschussversuche unter realistischen Kampfbedingungen."""
49,,"Einen tatsächlichen Dementor reinzulassen passt völlig zu ihm."""
49,,"Einen echten Dementor zu bringen ist sehr typisch für seinen Charakter."""
49,,"Einen echten Dementor herbeizuschaffen, ist ganz typisch für ihn."""
50,,Nun sah der Schulleiter Harry seltsam an.
50,,Jetzt gibt der Schulleiter Harry einen komischen Blick.
50,,Jetzt warf der Schulleiter Harry einen seltsamen Blick zu.
51,,",,Ihn immitierend??"" sagte der alte Zauberer."
51,,"""Im Charakter??"" sagte der alte Zauberer."
51,,"""In der Rolle?"", sagte der alte Zauberer."
53,,Warum hatte er es so ausgedrückt?
53,,Warum hatte er das so gesagt?
53,,Warum hatte er es so formuliert?
54,,Der Schulleiter nickte.
54,,Der Schulleiter nickte.
54,,Der Schulleiter nickte.
55,,",,Also hast du das selbe Gefühl wie ich; es handelt sich um eine Ausrede."
55,,"""Sie haben also das gleiche Gefühl wie ich; dass es eine Ausrede ist."
55,,"""Sie haben also dasselbe Gefühl wie ich, dass es eine Ausrede ist."
57,,"Häufig, zauberer scheinbar unfähig zu gießen ein Patronus Charme wird in der gegenwart gelingen von einem tatsächlichen Dementor, gehen von kein einziges flackern von licht zu einem vollen körper Patronus."
57,,"Zauberer, die anscheinend nicht in der Lage sind, einen Patronuszauber zu wirken, werden in der Gegenwart eines echten Dementors erfolgreich sein und von keinem einzigen Lichtblitz zu einem vollen körperlichen Patronus übergehen."
57,,"Oft, Zauberer die scheinbar einen Patronus nicht beschwören können werden in dem Präsenz eines richtigen Dementor erfolgreich, von nicht mal ein Flacker von Licht zu einem ganz körperliche Patronus."
57,x,"Oftmals, ist es Zauberern scheinbar unmöglich einen Patronus Zauber in Anwesenheit eines echten Dementors durchzuführen, welcher nicht von einem einfachen Flackern des Lichtes zu einem körperlichen Patronus wird."
58,,"Warum dies so sein soll, weiß niemand; aber es ist so."""
58,,"Niemand weiß, warum das der Fall ist, es ist eben so."""
58,,"Warum das so ist, weiß niemand; aber es ist so."""
61,,In einer Geste der Hilflosigkeit spreizte der Schulleiter die Hände.
61,,"Der Schulleiter breitete seine Hände aus, als wäre er hilflos."
61,,Der Schulleiter breitete seine Hände wie in Hilflosigkeit aus.
63,,Ich bin wohl misstrauisch
63,,"Ich muss verdächtig sein."""
63,,"Ich muss verdächtig sein."""
64,,Der Schulleiter seufzte.
64,,Der Schulleiter seufzte.
64,,Der Schulleiter seufzte.
65,,"""Und doch der Dementor wird bewacht, abgewehrt, in einem mächtigen käfig, ich werde selbst da sein um es immer zu sehen - ich kann nicht denken von was krank könnte gemacht werden."
65,,"""Und doch wird der Dementor bewacht, bewacht, in einem mächtigen Käfig, ich werde selbst da sein, um es zu jeder Zeit zu beobachten - ich kann mir nicht vorstellen, was schlecht getan werden könnte."
65,,"""Und doch wird der Dementor bewacht, bewacht, in einem mächtigen Käfig, ich werde selbst immer da sein, um ihn zu beobachten - ich kann mir nicht vorstellen, was Böses getan werden könnte."
65,x,"Dabei wird der Dementor bewacht und abgehalten in einem gewaltigen Käfig, ich selbst werde da sein um ihn jederzeit zu beobachten. Ich kann nicht daran denken was ich getan haben könnte."
66,,Aber moeglicherweise kann ich es nur nicht sehen.
66,,"Aber vielleicht war ich einfach nur unfähig, es zu sehen."
66,,"Aber vielleicht bin ich auch nur unfähig, es zu sehen."
67,,"Und so frage ich nun dich."""
67,,"Deshalb frage ich dich."""
67,,"Und darum bitte ich Sie."""
71,,",,Ja"", sagte Dumbledore mit einem leichten Lächeln."
71,,"„Ja,“ sagte Dumbledore mit einem leichten Lächeln."
71,,"""Ja,"" sagte Dumbledore, leicht lächelnd."
75,,"""Schulleiter"" Harry sagte müde, ""Ich weiß es hört sich nicht gut an, aber alles in allem schwere: ich bin nicht böse, ich bin einfach sehr kreativ -"""
75,,"""Direktor"", sagte Harry müde, ""ich weiß, es klingt nicht gut, aber in aller Ernsthaftigkeit: Ich bin nicht böse. Ich bin einfach sehr kreativ."""
75,,"„Schulleiter“, sagte Harry müde, „ich weiß, es klingt nicht gut, aber im Ernst: ich bin nicht böse, ich bin nur sehr kreativ-“"
75,x,"""Schulleiter,"" sagte Harry müde, ""Ich weiß es klingt nicht gut, aber bei aller Ernsthaftigkeit: Ich bin nicht böse, ich bin nur sehr kreativ-"""
77,,"""Da sind diese wer sagt das das böse begreifen soll böse werden; aber sie sind nur vortäuschend weise sein."
77,,",,Es gibt solche, die sagen, um das Böse zu verstehen muss man böse werden; aber diese Leute geben lediglich vor, weise zu sein."
77,,"„Manche sagen, dass man böse werden müsse um das Böse zu verstehen; aber sie geben nur vor weise zu sein."
78,,"Eher ist es böse die keine Liebe kennt, und wagt es nicht sich liebe vorzustellen, und kann es nie verstehen liebe ohne aufzuhören böse zu sein."
78,,"Vielmehr ist es das Böse, das die Liebe nicht kennt und sich die Liebe nicht vorzustellen wagt und die Liebe nie verstehen kann, ohne aufzuhören, böse zu sein."
78,,"Vielmehr ist es das Böse, das die Liebe nicht kennt und sich die Liebe nicht vorzustellen wagt und die Liebe niemals verstehen kann, ohne aufzuhören, böse zu sein."
78,x,Lieber ist es böse und kennt keine Liebe und kann sich Liebe nicht vorstellen und kann niemals die Liebe verstehen ohne aufzuhören Böse zu sein.
79,,"Und ich vermute das kannst du dir vorstellen dein weg in die gedanken von Dunkle Zauberer besser als ich könnte es jemals, solange noch liebe kennen dich selbst."
79,,"Und ich vermute, dass Sie sich Ihren Weg in die Köpfe der Dunklen Zauberer besser vorstellen können, als ich es je konnte, während Sie trotzdem die Liebe selbst kennen."
79,,"Und ich vermute, dass Sie sich Ihren Weg in die Köpfe von Dark Wizards besser vorstellen können, als ich es jemals könnte, während Sie immer noch wissen, dass Sie sich selbst lieben."
79,x,Und ich vermute du kannst dich besser in die Gedanken böser Zauberer hineinversetzen als ich es je könnte und weißt immer noch dich selbst zu lieben.
80,,"Also, Harry. ""Die augen des Schulleiters waren konzentriert."" Wenn sie in Professor Quirrells schuhen stünden, welche untaten könntest du vollbringen nachdem du mich ausgetrickst hast  einen Dementor auf das gelände von Hogwarts zu lassen?"""
80,,"So, Harry.""Die Augen des Direktors waren Absicht. ""Wenn Sie in Professor Quirrells Schuhen stünden, welche Untaten könnten Sie begehen, nachdem Sie mich dazu gebracht haben, einen Dementor auf das Gelände von Hogwarts zu lassen?"""
80,,"So, Harry."" Die Augen des Schulleiters sahen gespannt aus. Wenn du in Professor-Quells-Schuhen stündest, welche Übeltaten könntest du vollbringen, nachdem du mich überlistet hast, einen Dementor auf das Gelände von Hogwarts zu erlauben?"
80,,"Also, Harry."" Die Augen des Schulleiters waren konzentriert. „Wenn Sie in Professor Quirrells Schuhen stünden, welche Missetaten könnten Sie dann begehen, nachdem Sie mich dazu gebracht haben, einen Dementor auf den Boden von Hogwarts zu lassen?"""
80,,"Also, Harry."" Die Augen des Schulleiters waren absichtlich. ""Wenn du in der Schuhe von Professor Quirrel standest, welche Schlechtigkeiten könntest erreichen nachdem du mich reingelegt hast, ein Dementor in den Bannkreis von Hogwarts reinzuerlauben?"
80,x,"""So, Harry."" Der Blick des Schulleiters wurde ernst. ""Wärst du an Professor Quirrells Stelle, welche weiteren Missetaten willst du begehen nachdem du mich bereits dazu gebracht hast einen Dementor auf Hogwarts Schulgelände zu lassen."""
82,,"Es war ein großes und komfortables stuhl diesmal, kein holzhocker, und Harry konnte sich fühlen eingehüllt als er darin versank."
82,,"Es war ein großer und bequemer Stuhl dieses Mal, nicht ein hölzerner Hocker, und Harry konnte sich umhüllt fühlen, als er in ihn sank."
