Input.num,Translation
15,"Harry rezitierte verlegen, so gut er konnte, und hatte fast die Hälfte geschafft, bevor er erkannte, dass es nicht schlau war, dem möglicherweise verrückten schulleiter einfach alles zu erzählen, zumindest nicht ohne vorher darüber nachzudenken, aber dann war Lucius definitiv ein schlechter kerl und Dumbledore's gegner, also war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden und es war zu spät, um zu versuchen, die dinge jetzt auszurechnen..."
15,"Harry rezitierte schüchtern, so gut er konnte und war fast zur Hälfte fertig, bevor er erkannte, dass es nicht schlau war, dem möglicherweise verrückten Schulleiter einfach alles zu erzählen, zumindest nicht ohne vorher darüber nachzudenken. Aber Lucius war definitiv ein schlechter Mensch und Dumbledores Gegner, also war es wahrscheinlich eine gute Idee, es ihm zu sagen, und Harry hatte bereits angefangen zu reden, aber es war zu spät, um die Dinge jetzt herauszufinden..."
17,"Dumbledores das gesicht war distanzierter geworden als Harry fortfuhr, und am ende da war ein blick des altertums über ihn, eine strenge in der luft."
17,"Dumbledore's Gesicht war entfernter geworden, als Harry ging weiter, und am Ende gab es einen Blick der Antike über ihn, eine Härte in der Luft."
17,"Dumbledores Gesicht war distanzierter geworden, als Harry fortfuhr, und am Ende lag ein alter Blick um ihn, eine Strenge in der Luft."
17,"Dumbledores Gesicht wird ferner während Harry weitersprach, und am Ende war da ein Blick von Weisheit über ihm, Strenge in der Luft."
18,"""Gut"" sagte Dumbledore. ""Ich empfehle dir, gut aufzupassen dass der erbe von Malfoy schadet nicht, dann. Und ich werde dasselbe tun."""
18,"""Nun"", sagte Dumbledore. ""Ich schlage vor, dass Sie das Beste tun, damit der Erbe von Malfoy nicht zu Schaden kommt. Und ich werde das Gleiche tun."""
18,"„Nun“, sagte Dumbledore. „Dann schlage ich vor, dass du gut aufpasst, dass der Erbe von Malfoy nicht zu Schaden kommt. Und ich werde dasselbe tun.“"
19,"Das Schulleiter runzelte die stirn, seine finger trommeln lautlos durch das tintenschwarz oberfläche von a teller beschriftet mit dem wort Leliel."
19,"Der Schulleiter runzelte die Stirn, seine Finger trommelten lautlos durch die tintenschwarze Oberfläche der Platte, auf der das Wort Leliel stand."
19,"Der Schulleiter machte ein trauriges Gesicht, seine Finger trommeltr geräuchlos durch die tintenschwarze Oberfläche einer Platte beschriftet mit dem Wort Leliel."
24,"Vielleicht lag es einfach daran, dass es Harry nicht schwer fiel, Verständnis für den Standpunkt des Schulleiters aufzubringen."
24,"Vielleicht fand Harry es lediglich sehr einfach, in sich selbst Verständnis für den Standpunkt des Schulleiters zu erwecken."
24,"Vielleicht war es nur, dass Harry es jetzt sehr einfach fand den Blickpunkt des Schulleiters zu verstehen."
25,Sogar Harry könnte verstehen warum Dumbledore würde nicht wollen dass er mit Lucius Malfoy interagiert; es schien nicht mögen ein böse tat.
25,"Selbst Harry konnte verstehen, warum Dumbledore nicht wollte, dass er mit Lucius Malfoy interagiert; Es schien keine böse Tat zu sein."
25,"Sogar Harry konnte verstehen, warum Dumbledore nicht wollte, dass er mit Lucius Malfoy interagierte; es schien keine böse Tat zu sein."
26,"Nicht wie der Schulleiter der Zabini erpresst... wofür sie nur Zabinis wort hatten, und Zabini war absolut unzuverlässig, in der tat war es schwer zu sehen warum Zabini nicht einfach die geschichte erzählen würde das brachte ihm die meisten sympathien ein für Professor Quirrell..."
26,"Nicht wie der Direktor, der Zabini erpresste... für den sie nur Zabinis Wort hatten, und Zabini war unglaublich unglaubwürdig, in der Tat war es schwer zu verstehen, warum Zabini nicht einfach die Geschichte erzählen wollte, die ihm die größte Sympathie von Professor Quirrell einbrachte..."
26,"Der Schulleiter würde normalerweise nie Zabini erpressen … aber dafür gab es nur die Aussage von Zabini und Zabini war total unzuverlässig. Es wäre sogar zu erwarten, dass Zabini einfach eine Geschichte erfinden würde die ihm das meiste Mitgefühl von Professor Quirrel einbringen würde…"
27,"""Wie wäre es, wenn ich, statt zu protestieren, sage, dass ich ihren Standpunkt verstehe,"" sagte Harry, ""und sie fangen weiter meine Eulen ab, aber sagen mir, von wem die kamen?"""
27,"""Was wäre wenn, statt zu protestieren, ich sage dass ich verstehe deine sichtweise"" sagte Harry, ""und du gehst weiter meine eulen abfangen, aber sagst du mir von wem?"""
27,"""Wie wäre es, wenn ich statt zu protestieren sage, dass ich deinen Standpunkt verstehe"", sagte Harry, ""und du gehst weiter meine Eulen abfangen, aber du sagst mir, von wem?"""
29,"""Du bist eine berühmtheit, Harry, und du würdest erhalten dutzende von briefen ein tag, einige von weit außerhalb dieses landes, habe ich sie nicht zurückgedreht."""
29,"""Du bist eine Berühmtheit, Harry, und du würdest Dutzende von Briefen pro Tag erhalten, einige von weit außerhalb dieses Landes, habe ich sie nicht zurückgewiesen."""
29,"""Du bist eine Berühmtheit, Harry, und du würdest jeden Tag Dutzende von Briefen erhalten, einige von weit außerhalb dieses Landes, hätte ich sie nicht zurückgeschickt."""
29,"""Du bist eine Berühmheit, Harry, und du würdest jeden Tag dutzende von Briefenbekommen, manche von weit weg aus dem Land, hätte ich sie nicht abgelehnt."""
36,"Er sollte darauf bestehen beim lesen der briefe und urteilen für ihn selbst, aber... da war eine kleine stimme von gesundem menschenverstand in ihm, und es war sehr laut schreien im augenblick."
36,"Er sollte darauf bestehen, die Briefe zu lesen und selbst zu urteilen, aber... es war eine kleine Stimme des gesunden Menschenverstands in ihm, und es schrie gerade sehr laut."
36,"Er sollte darauf bestehen, die Briefe zu lesen und selbst zu urteilen, aber... da war eine leise Stimme des gesunden Menschenverstandes in ihm und sie schrie gerade sehr laut."
42,"Es entwickelte sich, dass Professor Quirrell hat gefragt, oder besser gesagt gefordert, dass seine schüler testen ihre fähigkeiten gegen einen echten Dementor nachdem sie es gelernt haben die worte und gesten zum Patronus Charme."
42,"Es stellte sich heraus, dass Professor Quirrell seine Schüler gebeten hatte, ihre Fähigkeiten gegen einen wirklichen Dementor zu testen, nachdem sie die Worte und Gesten zum Patronus Charm gelernt hatten, oder vielmehr verlangte."
42,"Es stellte sich heraus, dass Professor Quirrell seine Schüler gebeten oder vielmehr verlangt hatte, ihre Fähigkeiten gegen einen echten Dementor zu testen, nachdem sie die Worte und Gesten des Patronuszaubers gelernt hatten."
45,"Aber dann, er hat sich freiwillig gemeldet diese tatsache für mich im kurs von fordernd dass externe Instruktoren hereingebracht werden den Patronus Charme lehren an jeden schüler wer wollte lernen; er hat angeboten zu zahlen die kosten selbst, wenn ich nicht würde."
45,"Aber dann teilte er mir diese Tatsache mit, als er verlangte, dass externe Lehrer hinzugezogen werden, um jedem Schüler, der lernen wollte, den Patronus-Zauber beizubringen; er bot an, die Kosten selbst zu bezahlen, wenn ich nicht wollte."
45,Aber dann teilte er mir diese Tatsache mit während er verlangte dass externe Lehrer hinzugezogen werden sollen um den Patronuszauber jedem Schüler beizubringen der diesen lernen wolle; er hat angeboten die Kosten selbst zu bezahlen wenn ich das nicht tun würde
48,"""Schulleiter"" sagte Harry leise, ""Professor Quirrell glaubt sehr stark in Live-Brandtests unter realistischen kampf bedingungen."
48,"""Direktor"", sagte Harry leise, ""Professor Quirrell glaubt sehr stark an Live-Feuertests unter realistischen Kampfbedingungen."
48,"""Schulleiter,"" sagte Harry leise. Professor Quirle ist ein fester Glauebiger von Live-Feuertests unter reellen Kampfbedingungen."
48,"""Schulleiter,"" sagte Harry leiser, ""Professor Quirrel glaubte sehr stark in Live-Feuertest unter realistischen Kampf Bedingungen."
57,"Häufig, zauberer scheinbar unfähig zu gießen ein Patronus Charme wird in der gegenwart gelingen von einem tatsächlichen Dementor, gehen von kein einziges flackern von licht zu einem vollen körper Patronus."
57,"Zauberer, die anscheinend nicht in der Lage sind, einen Patronuszauber zu wirken, werden in der Gegenwart eines echten Dementors erfolgreich sein und von keinem einzigen Lichtblitz zu einem vollen körperlichen Patronus übergehen."
57,"Oft, Zauberer die scheinbar einen Patronus nicht beschwören können werden in dem Präsenz eines richtigen Dementor erfolgreich, von nicht mal ein Flacker von Licht zu einem ganz körperliche Patronus."
65,"""Und doch der Dementor wird bewacht, abgewehrt, in einem mächtigen käfig, ich werde selbst da sein um es immer zu sehen - ich kann nicht denken von was krank könnte gemacht werden."
65,"""Und doch wird der Dementor bewacht, bewacht, in einem mächtigen Käfig, ich werde selbst da sein, um es zu jeder Zeit zu beobachten - ich kann mir nicht vorstellen, was schlecht getan werden könnte."
65,"""Und doch wird der Dementor bewacht, bewacht, in einem mächtigen Käfig, ich werde selbst immer da sein, um ihn zu beobachten - ich kann mir nicht vorstellen, was Böses getan werden könnte."
71,",,Ja"", sagte Dumbledore mit einem leichten Lächeln."
71,"„Ja,“ sagte Dumbledore mit einem leichten Lächeln."
71,"""Ja,"" sagte Dumbledore, leicht lächelnd."
75,"""Schulleiter"" Harry sagte müde, ""Ich weiß es hört sich nicht gut an, aber alles in allem schwere: ich bin nicht böse, ich bin einfach sehr kreativ -"""
75,"""Direktor"", sagte Harry müde, ""ich weiß, es klingt nicht gut, aber in aller Ernsthaftigkeit: Ich bin nicht böse. Ich bin einfach sehr kreativ."""
75,"„Schulleiter“, sagte Harry müde, „ich weiß, es klingt nicht gut, aber im Ernst: ich bin nicht böse, ich bin nur sehr kreativ-“"
77,"""Da sind diese wer sagt das das böse begreifen soll böse werden; aber sie sind nur vortäuschend weise sein."
77,",,Es gibt solche, die sagen, um das Böse zu verstehen muss man böse werden; aber diese Leute geben lediglich vor, weise zu sein."
77,"„Manche sagen, dass man böse werden müsse um das Böse zu verstehen; aber sie geben nur vor weise zu sein."
78,"Eher ist es böse die keine Liebe kennt, und wagt es nicht sich liebe vorzustellen, und kann es nie verstehen liebe ohne aufzuhören böse zu sein."
78,"Vielmehr ist es das Böse, das die Liebe nicht kennt und sich die Liebe nicht vorzustellen wagt und die Liebe nie verstehen kann, ohne aufzuhören, böse zu sein."
78,"Vielmehr ist es das Böse, das die Liebe nicht kennt und sich die Liebe nicht vorzustellen wagt und die Liebe niemals verstehen kann, ohne aufzuhören, böse zu sein."
79,"Und ich vermute das kannst du dir vorstellen dein weg in die gedanken von Dunkle Zauberer besser als ich könnte es jemals, solange noch liebe kennen dich selbst."
79,"Und ich vermute, dass Sie sich Ihren Weg in die Köpfe der Dunklen Zauberer besser vorstellen können, als ich es je konnte, während Sie trotzdem die Liebe selbst kennen."
79,"Und ich vermute, dass Sie sich Ihren Weg in die Köpfe von Dark Wizards besser vorstellen können, als ich es jemals könnte, während Sie immer noch wissen, dass Sie sich selbst lieben."
80,"Also, Harry. ""Die augen des Schulleiters waren konzentriert."" Wenn sie in Professor Quirrells schuhen stünden, welche untaten könntest du vollbringen nachdem du mich ausgetrickst hast  einen Dementor auf das gelände von Hogwarts zu lassen?"""
80,"So, Harry.""Die Augen des Direktors waren Absicht. ""Wenn Sie in Professor Quirrells Schuhen stünden, welche Untaten könnten Sie begehen, nachdem Sie mich dazu gebracht haben, einen Dementor auf das Gelände von Hogwarts zu lassen?"""
80,"So, Harry."" Die Augen des Schulleiters sahen gespannt aus. Wenn du in Professor-Quells-Schuhen stündest, welche Übeltaten könntest du vollbringen, nachdem du mich überlistet hast, einen Dementor auf das Gelände von Hogwarts zu erlauben?"
80,"Also, Harry."" Die Augen des Schulleiters waren konzentriert. „Wenn Sie in Professor Quirrells Schuhen stünden, welche Missetaten könnten Sie dann begehen, nachdem Sie mich dazu gebracht haben, einen Dementor auf den Boden von Hogwarts zu lassen?"""
80,"Also, Harry."" Die Augen des Schulleiters waren absichtlich. ""Wenn du in der Schuhe von Professor Quirrel standest, welche Schlechtigkeiten könntest erreichen nachdem du mich reingelegt hast, ein Dementor in den Bannkreis von Hogwarts reinzuerlauben?"
82,"Es war ein großes und komfortables stuhl diesmal, kein holzhocker, und Harry konnte sich fühlen eingehüllt als er darin versank."
82,"Es war ein großer und bequemer Stuhl dieses Mal, nicht ein hölzerner Hocker, und Harry konnte sich umhüllt fühlen, als er in ihn sank."
82,"Diesmal war es ein großer und bequemer Stuhl, kein hölzerner Hocker, und Harry konnte fühlen, wie er eingehüllt wurde, als er darin sank."
85,"Punkt zwei: Die hypothese war das Verteidigung Professor war geplant machen etwas böses, und darin konjunktiv fall, Harry sollte sein dem Schulleiter helfen verhindere es."
85,"Punkt zwei: Die Hypothese war, dass der Verteidigungsprofessor plante, etwas Böses zu tun, und in diesem subjunktiven Fall sollte Harry dem Direktor helfen, es zu verhindern."
85,"Zweiter Punkt: Die Hypothese war dass die Vertidigungsprofessor planten etwas böses zu tun, und in diesem vorgestellen Fall,sollte Harry den Schulleiter helfen, ihn zu vermeiden."
92,"""Ich erinnere mich"" der alte zauberer fuhr fort, ""ein junger mann in diesem büro, kalt und kontrolliert als er nach unten schaute das Oberhaupt des Hauses Slytherin, erpressung sein eigener Schulleiter um seine mitschüler zu beschützen."
92,Slytherin
92,"„Ich erinnere mich“, fuhr der alte Zauberer fort, „ein junger Mann in genau diesem Büro, kalt und kontrolliert, als er dem Hauslehrer Slytherin gegenüberstand und seinen eigenen Schulleiter erpresste, um seine Klassenkameraden zu schützen."
92,"""Ich einnere mich,"" fuhr der alte Zauberer fort, ""ein junger Mann in demselben Büro, kalt und kontrolliert als er nach unten zu dem Chef des Hauses slytherin, erspresste seinen eigenen Schulleiter um seine Klassenkameraden zu beschützen."
93,"Und ich glaube dieser junge mann ist schlauer als Professor Quirrell, ist schlauer als Lucius Malfoy, dass er wächst gleich sein von Voldemort selbst."
93,"Und ich glaube, dass der junge Mann listiger als Professor Quirrell ist, listiger als Lucius Malfoy, und er wird schließlich Voldemort selbst ebenbürtig sein."
93,"Und ich glaube, dieser junge Mann ist mehr gerissen als Professor Quirrel, mehr gerissen als Lucius Malfoy, dass er gleich wie Voldemort nachdem er aufwachsen wird."
98,"Harry erinnerte sich immer noch daran, wie es war, die unsichtbare Zeit zu beobachten - drehte sich um sein vergangenes Selbst"
98,"Harry noch daran erinnert wie es gewesen war schauen, unsichtbare zeit gedreht, als sein vergangenes selbst stellte sich den älteren Slytherins; der junge mit der narbe auf der stirn der sich nicht wie die anderen verhalten hat."
98,"Harry erinnerte sich noch immer daran, wie es gewesen war, unsichtbar der Zeitumkehrung zuzusehen, wie sein vergangenes Ich den älteren Slytherins gegenüberstand; der Junge mit der Narbe auf der Stirn, der sich nicht wie die anderen benahm."
98,"Harry wusste immernoch wiees war zu schauen, unsichtbar in der Vergagenheit getaucht, als sein vergangenes Ich gegen die älteren Slytherins auftrat; der Junge mit einer Narbe auf seinem Stirn, der sich nicht wie andere verhielt."
101,"Was nicht viel verlangte, wenn man bedenkt dass der Dunkle Lord hatte ein deutlich sichtbares Dunkles Mal auf alle seine diener linker arm, und das würde er abgeschlachtet das ganze kloster das lehrte das kriegerische kunst er wollte lernen."
101,"Was nicht sehr viel verlangte, wenn man bedenkt, dass der Dunkler Lord ein deutlich sichtbares dunkles Zeichen auf alle linken Arme seiner Diener gesetzt hatte und dass er das gesamte Kloster geschlachtet hatte, das die Kampfkunst lehrte, die er lernen wollte"
101,"Was nicht viel verlangte, wenn man bedenkt, dass der Dunkle Lord ein deutlich sichtbares Dunkles Mal auf alle linken Arme seiner Diener gelegt hatte und dass er das gesamte Kloster abgeschlachtet hatte, das die Kampfkunst lehrte, die er lernen wollte."
103,"Aber es war auch klar dass der Schulleiter wäre nicht zufrieden bis Harry ganz kalt wurde und dunkel, und kam auf eine art antwort das klang beeindruckend schlau... was war besser nicht wirklich im weg stehen der verteidigung von Professor Quirrell..."
103,"Aber es war auch klar, dass der Schulleiter nicht zufrieden sein würde, bis Harry ganz kalt und dunkel wurde und eine Art Antwort fand, die beeindruckend gerissen klang... das sollte Professor Quirrells Lehren in Verteidigung besser nicht im Weg stehen..."
103,"Aber es war auch klar, dass der schullieter nicht zufrieden sein würde bis Harry kalt und deunkle sein wird, und dachte sich eine Antwort aus die beeindruckend reißend klingt...welche besser nicht über den Weg von Professor Quirrells Verteidigungsunterricht..."
104,"Und natürlich Harry würde zu seiner dunklen seite übergehen und überlege es aus dieser richtung, nur um ehrlich zu sein, und nur für den fall."
104,"Und natürlich ging Harry zu seiner dunklen Seite und dachte es aus dieser Richtung durch, nur um ehrlich zu sein, und nur für den Fall."
104,"Und natürlich würde Harry zu seiner dunklen Seite hinübergehen und es aus dieser Richtung durchdenken, nur um ehrlich zu sein und nur für den Fall."
107,"Der Dementor würde transportiert auf das gelände von Hogwarts von einem Auror trio, alle drei sind dem Schulleiter persönlich bekannt, und alle drei sind in der lage einen körperlichen Patronus zauber zu wirken."
107,"Der Dementor würde von einem Auror-Trio auf das Gelände von Hogwarts transportiert werden, alle drei persönlich dem Direktor bekannt und alle drei in der Lage, einen körperlichen Patronus-Charme zu spielen."
107,"Der Demntor wird von einem Auror trio auf den Boden von Hogwarts transportiert, alle drei kennen persönlich den Schulleiter, und alle diese drei können einen köperlicher Patronus-Zauber anwenden."
109,Harry fragte ob der pass war dauerhaft oder vorübergehend - ob jemand könnte einfach das gleiche mitbringen Dementor am nächsten wieder tag.
109,"Harry fragte, ob der Pass dauerhaft oder vorübergehend sei – ob jemand den gleichen Dementor am nächsten Tag einfach noch einmal hereinbringen könnte."
109,"Harry fragte sich, ob der Übergang permanent oder voläufig war- ob jemand am nächsten Tag den selben Dementor mitbringen könnte."
110,"Der pass war vorübergehend (antwortete der Schulleiter mit einem zustimmenden nicken), und die erklärung ging weiter: Der Dementor wäre in einem käfig aus massiven titanstäben, nicht verklärt aber echt geschmiedet; mit der zeit ein Dementor präsenz würde korrodieren dieses metall zu staub, aber nicht an einem einzigen tag."
110,"Der Pass war vorübergehend (der Direktor antwortete mit einem zustimmenden Nicken) und die Erklärung ging weiter: Der Dementor wäre in einem Käfig aus massiven Titanstäben, nicht verklärt, sondern wahr geschmiedet; mit der Zeit würde die Gegenwart eines Dementors dieses Metall zu Staub zersetzen, aber nicht an einem einzigen Tag."
110,"Der Pass war vorübergehend (erwiderte der Schulleiter mit einem zustimmenden Nicken), und die Erklärung ging weiter: Der Dementor würde in einem Käfig aus massiven Titanstangen sein, nicht verklärt, sondern echt geschmiedet; Mit der Zeit würde die Anwesenheit eines Dementors dieses Metall zu Staub zersetzen, aber nicht an einem einzigen Tag."
111,"Studenten warten sie würden gut bleiben rückseite des Dementors, hinter zwei körperlichen Patronus gepflegt von zwei der drei Aurors zu jeder zeit."
111,"Schüler, die darauf warteten, an der Reihe zu sein, würden sich weit hinter dem Dementor aufhalten, hinter zwei körperlichen Patronus, die von zwei der drei Auroren zu jeder Zeit unterhalten wurden."
111,"Studenten die darauf warteten an die Reihe zu kommen standen weit hinter dem Dementor, hinter zwei korperlichen Patronussen die jederzeit von zwei der drei Auroren auferhalten wurden."
113,
113,"Ein einzelner Schüler würde sich dem Dementor nähern und Dumbledore würde seinen Patronus zerstreuen; und der Schüler würde versuchen, seinen eigenen Patronuszauber zu wirken, und wenn sie versagten, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler dauerhaften Schaden erleiden konnte"
113,"Ein einzelner Schüler würde sich dem Dementor nähern; und Dumbledore würde seinen Patronus heraufbeschwören; und der Schüler würde dann seinen eigenen Patronus anrufen; und wenn es schiefginge, dann würde Dumbeldore seinen Patronus wieder anrufen, bevor dem Schüler irgendein Schaden widerfahren würde."
113,"Ein einzelner Schüler würde sich dem Dementor nähern und Dumbledore würde seinen Patronus auflösen, und der Schüler würde versuchen, seinen eigenen Patronuszauber zu sprechen; wenn sie scheiterten, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler bleibenden Schaden erleiden konnte."
113,"Ein einzelner Schüler würde sich dem Dementor nähern, und Dumbledore würde seinen Patronus auflösen. Der Schüler würde versuchen, seinen eigenen Patronus Zauber zu wirken, und wenn er scheitern würde, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler einen dauerhaften Schaden erleiden könnte."
113,"Ein einzelner schüler würde den Dementor ansprechen; und Dumbledore würde seinen Patronus vertreiben; und der schüler würde versuchen zu werfen ihre eigenen Patronus Charme; und wenn sie versagt haben, Dumbledore würde wiederherstellen sein Patronus vor dem schüler könnte dauerhaft leiden beschädigung."
113,"Ein einzelner Schüler würde sich dem Dementor nähern; und Dumbledore würde seinen Patronus vertreiben; und der Schüler versuchte, seinen eigenen Patronus-Charme zu spielen; Und wenn sie scheiterten, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler irgendeinen bleibenden Schaden erleiden könnte."
113,"Ein einzelner Schüler würde sich dem Dementor nähern; und Dumbledore würde versuchen, ihren eigenen Patronuszauber zu wirken; und wenn sie scheiterten, würde Dumbledore seinen Patronus wiederherstellen, bevor der Schüler dauerhaften Schaden erleiden konnte."
114,"Der ehemalige Duellchampion Professor Flitwick wäre auch anwesend solange Schüler in der Nähe wären, nur um zusätzlich für Sicherheit zu sorgen."
114,"Professor Flitwick, der ehemalige Duellchampion, würde zur Wahrung der Sicherheit auch da sein während sich Schüler in der Nähe aufhalten."
114,"Ehemaliger Duelchampion Professor Flitwick wäre hier, wenn Schüler in der Nähe sind um Sicherheitsabstand einzufügen."
117,Der Schulleiter schüttelte den Kopf.
117,Der Schulleiter schüttelte seinen Kopf.
117,Der Schulleiter schüttelte den Kopf.
119,"Und wenn Dumbledore's Patronus ist aus irgendeinem grund gescheitert, während einer der studenten war noch in der nähe Dementor, der dritte Auror würde einen anderen werfen körperlich Patronus und sende es um den schüler abzuschirmen..."
119,"Und wenn Dumbledore's Patronus aus irgendeinem Grund scheiterte, während einer der Schüler noch in der Nähe des Dementors war, würde der dritte Auror einen anderen körperlichen Patronus werfen und ihn schicken, um den Schüler zu schützen..."
119,"Und wenn Dumbledores Patronus aus irgendeinem Grund versagte, während einer der Schüler noch in der Nähe des Dementors war, würde der dritte Auror einen anderen körperlichen Patronus wirken und ihn senden, um den Schüler zu beschützen ..."
125,"Harry musste laufen dadurch gesamte sitzung in Zaubertränke in seinen gedanken, vor seinem blutgekühlt in etwas annäherung tödliche kristalline klarheit."
125,"Harry musste die ganze Session in Zaubertränke in seinem Kopf durchlaufen, bevor sein Blut zu etwas kühlte, das sich der tödlichen kristallinen Klarheit näherte."
125,"Harry musste die gesamte Sitzung in Zaubertränke in Gedanken durchgehen, bevor sein Blut zu etwas kühlte, das sich tödlicher kristalliner Klarheit annäherte."
125,"Harry musste durch die ganze Sitzung in Zaubertränke in seiner Gedanken durchlaufen bevor sein Blut frierte zu etwas, was einer tödlichen kristallisierten Klarheit näherte."
127,Und es war offensichtlich.
127,Und das war offensichtlich.
127,Und es war deutlich.
127,Und es war deutlich
127,Und es war offensichtlich.
128,"""Der Dementor ist eine Ablenkung"", sagte Harry."
128,",,Der Dementor ist eine Ablenkung,"" sagte Harry."
128,"„Der Dementor ist eine Ablenkung,“ sagte Harry."
133,",,Ja..."", sagte der Schulleiter."
133,",,Ja..."" sagte der Schulleiter."
133,"""Ja..."" sagte der Schulleiter."
142,"Warum Voldemort?"""
142,Wieso Voldemort?
142,"Warum Voldemort?"""
142,"Warum Voldemort?"""
147,"""Ja!?"", sagte Dumbledore."
147,"""Ja!?"" sprach Dumbledore"
147,"""Ja!?"", sagte Dumbledore."
147,"""Jawohl!?"" sagte Dumbledore."
147,"Dumbledore sagte: ""Ja!?"""
