Input.num,Translation
306,"""Und dann"", spuckte Harry, die Wut kam ganz in seine Stimme, die kalte Wut auf das Universum, weil es so war, und auf sich selbst, weil er so dumm war, ""habe ich Hermione  gefragt, und sie hat gesagt, dass es sich nur um Bilder handelt, die durch den Tod eines Zauberers in den Stein des Schlosses gebrannt wurden, wie die Silhouetten, die an den Wänden von Hiroshima zurückgeblieben sind."
306,"""Und dann"", spuckte Harry, während der Zorn jetzt gänzlich Eingang in seine Stimme fand, die kalte Wut auf das Universum dafür, dass es so war, und auf sich selbst dafür, so dämlich zu sein, ""fragte ich Hermine, und sie sagte, sie wären nur Nachbilder, in den Stein des Schlosses gebrannt durch den Tod eines Zauberers, wie die Silhouetten, die an den Wänden von Hiroshima verbleiben."""
306,"""Und dann"" spuckte Harry, die wut kommt ganz in seine stimme, die kalte wut auf das universum dafür, dass du so bist und an sich selbst, weil er so dumm ist, ""Ich fragte Hermine und sie sagte dass sie nur nachbilder waren, in den stein der burg eingebrannt durch den tod eines zauberers, wie die silhouetten links an den mauern von Hiroshima."
311,"Und Professor McGonagall, als sie mir erzählte wie meine eltern gestorben waren, sie tat nicht so als ob sie gerade auf eine lange reise in ein anderes land gegangen wären, als wären sie nach Australien ausgewandert zurück in den tagen der segelschiffe, so würden sich die Leute verhalten wenn sie wirklich wüssten dass der tod nur woanders hingeht, wenn sie stichhaltige beweise für ein leben nach dem tod hätten, anstatt sich sachen auszudenken um sich zu trösten,es würde alles ändern, es wäre egal dass jeder jemanden im krieg verloren hat, es wäre ein bisschen traurig aber nicht schrecklich!"
311,"Und Professor McGonagall, als sie mir erzählte, wie meine Eltern gestorben sind, hat sie nicht so getan, als ob sie nur eine lange Reise in ein anderes Land unternommen hätten, als wären sie zur Zeit der Segelschiffe nach Australien ausgewandert, so wie die Leute das tun würden handeln, wenn sie wüssten, dass der Tod woanders hingeht, wenn sie konkrete Beweise für ein Leben nach dem Tod hätten, anstatt Dinge zu erfinden, um sich zu trösten, würde es alles ändern, es wäre egal, wenn jeder jemanden im Krieg verloren hätte, es wäre ein wenig traurig, aber nicht schrecklich!"
311,"Und als Professor McGonagall mir erklärte wie meine Eltern gestorben waren, verhielt sie sich nicht als ob diese gerade weggegangen seinen, wie auf eine lange Reise zu einem anderen Land, oder dass sie nach Australien ausgewandert seien wie früher als Leute noch wegsegelten. So würden Menschen handeln, wenn sie wirklich wüssten, dass Sterben ist wie wegzureisen, wenn es feste Beweise für ein Leben nach dem Tod gäbe. Anstatt Zeug zu erfinden um sich selbst zu trösten, würde es alles ändern, es würde nicht mehr ausmachen, dass jeder jemanden im Krieg verloren hatte, es wäre ein bisschen traurig, aber nicht entsetzlich!"
323,"Die physische Manifestation der Barriere zwischen den Welten war ein großer steinerner Torbogen, alt und hoch und spitz zulaufend, mit einem zerfledderten schwarzen Schleier wie die Oberfläche eines Wasserbeckens, das sich zwischen den Steinen ausbreitete, immer kräuselnd durch den ständigen und einseitigen Durchgang der Seelen."
323,"Die physische Manifestation der Barriere zwischen den Welten war ein großer steinerner Torbogen, alt und hoch und spitz zulaufend, mit einem zerfetzten schwarzen Schleier wie die Oberfläche eines Wasserbeckens, der sich zwischen den Steinen erstreckte, plätschernd, immer, vom ständigen und einseitigen Durchgang der Seelen"
323,"Die körperliche Manifestation der Grenze zwischen den Welten war ein großer steinerner Torbogen, alt und hoch und auf eine scharfe Spitze zulaufend, mit einem zerrissenen schwarzen Schleier wie die Oberfläche eines Wasserbeckens, der sich zwischen den Steinen spannte; sich immerzu kräuselnd vom konstanten Übergang der Seelen in nur eine Richtung."
324,"Wenn man neben dem Schleier stand, konnte man die Stimmen der Toten rufen hören, rufend in Geflüster nur knapp auf der falschen Seite des Verstehens, lauter und vielstimmiger werdend, wenn man blieb und versuchte zu lauschen, während sie versuchten zu kommunizieren; und wenn man zu lange lauschte, würde man gehen und sie kennelernen, und in dem Moment, wo man den Schleier berührte, würde  man hindurchgesogen, und nie wieder gesehen werden."
324,"Wenn du am Schleier standest, konntest du die Stimmen der Toten rufen hören, immer in einem Flüsterton, der kaum zu verstehen war, und der lauter und zahlreicher wurde, wenn du stehenbliebst und zu hören versuchte, während sie versuchten, sich mitzuteilen: und wenn du zu lange zuhörtest, würdest du ihnen entgegengehen, und in dem Moment, in dem du den Schleier berührtest, würdest du hindurchgesaugt werden und nie wieder etwas von dir hören lassen."
324,"Wenn man sich in der Nähe des Schleiers aufhielt, konnte man die Stimmen der Toten hören, die immer in schlechtem Flüstern von der falschen Seite des Verstehens riefen, lauter und zahlreicher wurden, wenn man blieb und versuchte, zuzuhören, während sie versuchten, sich zu verständigen; und wenn man lange genug zuhörte, würde man sie finden, und in dem Moment, in dem man den Schleier berührte, wurde man weggesaugt und man hörte nie wieder etwas davon."
329,Auch nicht interessant.
329,Ebenfalls nicht interessant
329,Auch uninteressant
335,"Und mit der Zeit machte es ihn verrückt, und er tötete sich selbst, um wieder wirklich mit ihr zusammen zu sein..."
335,"Und mit der Zeit trieb es ihn in den Wahnsinn, und er brachte sich um, um noch einmal wirklich mit ihr zusammen zu sein..."
335,"Und nach einer gewissen Zeit machte es ihn verrückt und er tötete sich selbst, um wieder wirklich mit ihr zu sein"
340,".....deine tote Frau und frag sie, wo sie ihren verlorenen Ohrring gelassen hat oder so, beendete Harry"
340,"""... deine tote Frau, und frage sie, wo sie ihren verlorenen Ohrring gelassen hat, oder so ähnlich"", beendete Harry."
340,"""... deine tote Frau, und frage sie, wo sie ihren verlorenen Ohrring gelassen hat, oder so etwas in der Art"", beendete Harry."
352,"Und Dumbledore wies Harry an, den Unsichtbarkeitsumhang aus seiner Tasche zu ziehen; auf Anweisung des Schulleiters begann Harry mit der Innenseite und der Rückseite der Kapuze, bis er das Symbol der Heiligtümer des Todes sah, das in verblasstem Scharlachrot, wie getrocknetes Blut, schwach auf das silbrige Gewebe gezeichnet war: ein Dreieck mit einem Kreis im Inneren und einer Linie, die beide trennte"
352,"Und Dumbledore sagte zu Harry, er solle den Umhang der Unsichtbarkeit aus seiner Tasche ziehen; auf die Anweisung des Schulleiters hin starrte Harry auf die Innenseite und die Rückseite der Kapuze, bis er es sah, schwach gegen das silbrige Netz in verblasstem Scharlachrot wie getrocknetes Blut gezogen, das Symbol für die Heiligtümer des Todes, ein Dreieck, mit einem innen gezeichneten Kreis und einer Linie, die beide trennt"
352,"Und Dumbledore forderte Harry auf, den Umhang der Unsichtbarkeit aus seinem Beutel zu ziehen; auf Anweisung des Schulleiters starrte Harry auf die Innenseite und Rückseite der Kapuze, bis er es sah, schwach auf das silbrige Gewebe gezeichnet in verblichenem Scharlach wie getrocknetem Blut, das Symbol der Heiligtümer des Todes: ein Dreieck mit einem hineingezeichneten Kreis und einer Linie, die sie beide teilte."
373,"(Harry verleihte sich für Montag eine hohe Punktezahl, da er es geschafft hatte, jemanden völlig um den Verstand zu bringen bevor der Tag vorbei war)"
373,"(Harry vergab sich selbst einen Punkt für den Montag, da er es geschafft hatte, jemanden völlig aus den Socken zu hauen, bevor der Tag zu Ende war.)"
373,"(Harry vergab sich selbst einen Punkt für den Montag, da er es geschafft hatte, jemanden völlig aus den Socken zu hauen, bevor der Tag zu Ende war.)"
443,"Tun Sie so, als ob jeder jederzeit die Existenz von Seelen überprüfen könnte, tun Sie so, als ob niemand bei Beerdigungen weinen würde, weil sie wissen, dass ihre Angehörigen noch leben."
443,"Tu so, als ob jeder, zu jeder Zeit, die Existenz von Seelen beweisen könnte, tu so, als ob niemand auf Beerdigungen weint, weil sie wüssten, dass ihre Lieben noch Leben wären."
443,"Tu so, als könnte jeder die Existenz von Seelen jederzeit überprüfen, tu so, als würde niemand bei Beerdigungen weinen, weil sie wussten, dass ihre Lieben noch am Leben waren"
468,"Der Junge verbeugte sich mit schwerer Ironie vor ihm und ging, und die Eichentür schlug mit einem dumpfen Knall hinter ihm zu."
468,Sie verneigten sich mit schwerem Eisen vor ihm und reisten ab; und die Eiche knallte mit einem dumpfen Schlag hinter ihm zu.
468,"Der Junge verbeugte sich mit schwerer Ironie vor ihm und ging, und die Eichentür schlug mit einem dumpfen Schlag hinter ihm zu."
